id,feature,category,Descirption,Avaliable
,Upload Private Data,Data Access,,
,Skins / Custom Branding,Customization,,
,Bespoke CSV Template Ingestion,LithoBuild,LithoBuild Project to have rapid import from client datasets,
,Share Data Publicly,Collaboration,,
,Share Data Privately - Project Level,Collaboration,Add users to a project and share Private data within a project or a 'institute' level,
,Share Data Privately - Company Level,Collaboration,Share data between projects within a company (community level),
,View Lithodata Free,Data Access,Access all Public Avaliable data on the Lithosurfer curerntly,
,View Lithodata Commercial,Data Access,Purchase Subscription and access in LithoSurfer,
,Paleo Reconstruction (one),Tools,Restricted to a single Paeleo Reconstruction,
,Paleo Reconstruction (all),Tools,,
,Paleo Reconstruction (private),Tools,LithoBuild Project in import lithoplate models from clients,
,Grid Data,Tools,,
,Swath Profile,Tools,,
,Select Area,Tools,,
,Rock Type,Tools,,
,Analysis Type,Tools,,
,Elevation,Tools,,
,Basemaps,Tools,,
,Geophysics Layer (Public),Tools,,
,Geophysics Layer (Private),Tools,Upload privately owned geophysics raster files uploaded to project level,
,Contour Lines,Tools,,
,3D terrain and buildings,Tools,,
,Field App,Tools,Use the Applications in the field,
,DOI Minting,Publishing,,
,LithoChem Dashboard,Tools,,
,LithoClean Service,Services,,
,LithoBuild Services,Services,,
,Support Portal Access (videos and how to guides),Support,,
,LithoSurfer Inhouse Training,Support,,
,User Settings (UI preferences per user),Data Access,,
,Team workspaces,Collaboration,,
,Admin controls & user management,Admin,,
,Public Lithodata API,Integration,,
,Private LithoData API - Based on User Access,Integration,,
,Unlimited projects,Projects,,
,Single Project,Projects,,
,LithoSurfer Project  Workspace (community forum),Projects,"A team collaboration, project management and notes portal for field work",
,Dedicated account manager,Support,,
,Priority support (SLA),Support,,
,Email support,Support,,
,Custom training & onboarding,Training,,
,SSO/SAML integration,Security,,
,Custom visualization templates,Visuals,LithoBuild for enterprise customer to have bespoke analysis packages,
,Basic search functionality,Core,,
,Public community forum access,Community,,
,Shape File Export,Export,,
,Full data export (CSV Excel),Export,,
,LithoAI Tools,Analysis,,Future
,Project Reporting Tools,Analysis,,Future
,API documentation,Integration,,
,Upload Raster maps/layers,Data Import,,Future
,Teams functionality,Collaboration,,
,Exhumation tool,Tools,,
,WMS Layer Feed,Tools,,
,Multi-thermochronology layer tool,Tools,,
,Movie Making,Tools,,
,Snapshots,Tools,,
,Onboarding Workshop,Training,,
,Virtual Custom Portal (CNAME),Customization,,
,In Person Oboarding Workshop,Support,,
,Dedicated Domain Name,Customization,,
,LithoData discounts,Pricing,,
,LithoMine discounts,Pricing,,
,Acedemic Support / Consultation,Admin,,
,Project/Company management,Admin,,
,Group Packages,Features,,
,aQuire/GeoBank/Micromine adaptors,Integration,,
,Purchase Commercial Data Instantly,Commerce,,
,Exploration Work Program,Tools,"Interactive tool to plan borehole location, sampling - integrated to accept future samples as they come in. Include costing and price estimates",future
