Code,Name,Description,Track Inventory,Purchase,Sell
001-01-00,FT Global,Fission Track - All Regions (Annual),No,No,Yes
001-01-01,FT Africa,Fission Track - Africa Region (Annual),No,No,Yes
001-01-02,FT Antarctica,Fission Track - Antarctica Region (Annual),No,No,Yes
001-01-03,FT Arabia,Fission Track - Arabia Region (Annual),No,No,Yes
001-01-04,FT Asia,Fission Track - Asia Region (Annual),No,No,Yes
001-01-05,FT Central Asia,Fission Track - Central Asia Region (Annual),No,No,Yes
001-01-06,FT Europe,Fission Track - Europe Region (Annual),No,No,Yes
001-01-07,FT North America,Fission Track - North America Region (Annual),No,No,Yes
001-01-08,FT Oceania,Fission Track - Oceania Region (Annual),No,No,Yes
001-01-09,FT South America,Fission Track - South America Region (Annual),No,No,Yes
001-01-10,FT Unclassified,Fission Track - Unclassified Region (Annual),No,No,Yes
001-02-00,HE Global,Helium U-Th/He - All Regions (Annual),No,No,Yes
001-02-01,HE Africa,Helium U-Th/He - Africa Region (Annual),No,No,Yes
001-02-02,HE Antarctica,Helium U-Th/He - Antarctica Region (Annual),No,No,Yes
001-02-03,HE Arabia,Helium U-Th/He - Arabia Region (Annual),No,No,Yes
001-02-04,HE Asia,Helium U-Th/He - Asia Region (Annual),No,No,Yes
001-02-05,HE Central Asia,Helium U-Th/He - Central Asia Region (Annual),No,No,Yes
001-02-06,HE Europe,Helium U-Th/He - Europe Region (Annual),No,No,Yes
001-02-07,HE North America,Helium U-Th/He - North America Region (Annual),No,No,Yes
001-02-08,HE Oceania,Helium U-Th/He - Oceania Region (Annual),No,No,Yes
001-02-09,HE South America,Helium U-Th/He - South America Region (Annual),No,No,Yes
001-02-10,HE Unclassified,Helium U-Th/He - Unclassified Region (Annual),No,No,Yes
001-03-00,VR Global,Vitrinite Reflectance - All Regions (Annual),No,No,Yes
001-03-01,VR Africa,Vitrinite Reflectance - Africa Region (Annual),No,No,Yes
001-03-06,VR Europe,Vitrinite Reflectance - Europe Region (Annual),No,No,Yes
001-03-07,VR North America,Vitrinite Reflectance - North America Region (Annual),No,No,Yes
001-03-08,VR Oceania,Vitrinite Reflectance - Oceania Region (Annual),No,No,Yes
001-04-00,U-Pb Global,Uranium-Lead - All Regions (Annual),No,No,Yes
001-04-01,U-Pb Africa,Uranium-Lead - Africa Region (Annual),No,No,Yes
001-04-02,U-Pb Antarctica,Uranium-Lead - Antarctica Region (Annual),No,No,Yes
001-04-03,U-Pb Arabia,Uranium-Lead - Arabia Region (Annual),No,No,Yes
001-04-04,U-Pb Asia,Uranium-Lead - Asia Region (Annual),No,No,Yes
001-04-05,U-Pb Central Asia,Uranium-Lead - Central Asia Region (Annual),No,No,Yes
001-04-06,U-Pb Europe,Uranium-Lead - Europe Region (Annual),No,No,Yes
001-04-07,U-Pb North America,Uranium-Lead - North America Region (Annual),No,No,Yes
001-04-08,U-Pb Oceania,Uranium-Lead - Oceania Region (Annual),No,No,Yes
001-04-09,U-Pb South America,Uranium-Lead - South America Region (Annual),No,No,Yes
001-04-10,U-Pb Unclassified,Uranium-Lead - Unclassified Region (Annual),No,No,Yes
001-05-00,Ar-Ar Global,Argon-Argon - All Regions (Annual),No,No,Yes
001-05-01,Ar-Ar Africa,Argon-Argon - Africa Region (Annual),No,No,Yes
001-05-02,Ar-Ar Antarctica,Argon-Argon - Antarctica Region (Annual),No,No,Yes
001-05-04,Ar-Ar Asia,Argon-Argon - Asia Region (Annual),No,No,Yes
001-05-05,Ar-Ar Central Asia,Argon-Argon - Central Asia Region (Annual),No,No,Yes
001-05-06,Ar-Ar Europe,Argon-Argon - Europe Region (Annual),No,No,Yes
001-05-10,Ar-Ar Unclassified,Argon-Argon - Unclassified Region (Annual),No,No,Yes
001-06-00,TH Global,Thorium - All Regions (Annual),No,No,Yes
001-06-01,TH Africa,Thorium - Africa Region (Annual),No,No,Yes
001-06-02,TH Antarctica,Thorium - Antarctica Region (Annual),No,No,Yes
001-06-03,TH Arabia,Thorium - Arabia Region (Annual),No,No,Yes
001-06-04,TH Asia,Thorium - Asia Region (Annual),No,No,Yes
001-06-05,TH Central Asia,Thorium - Central Asia Region (Annual),No,No,Yes
001-06-06,TH Europe,Thorium - Europe Region (Annual),No,No,Yes
001-06-07,TH North America,Thorium - North America Region (Annual),No,No,Yes
001-06-08,TH Oceania,Thorium - Oceania Region (Annual),No,No,Yes
001-06-09,TH South America,Thorium - South America Region (Annual),No,No,Yes
001-06-10,TH Unclassified,Thorium - Unclassified Region (Annual),No,No,Yes
001-07-00,GC Global,Geochemistry - All Regions (Annual),No,No,Yes
001-07-01,GC Africa,Geochemistry - Africa Region (Annual),No,No,Yes
001-07-02,GC Antarctica,Geochemistry - Antarctica Region (Annual),No,No,Yes
001-07-03,GC Arabia,Geochemistry - Arabia Region (Annual),No,No,Yes
001-07-04,GC Asia,Geochemistry - Asia Region (Annual),No,No,Yes
001-07-05,GC Central Asia,Geochemistry - Central Asia Region (Annual),No,No,Yes
001-07-06,GC Europe,Geochemistry - Europe Region (Annual),No,No,Yes
001-07-07,GC North America,Geochemistry - North America Region (Annual),No,No,Yes
